,Plottag,CLY,SND,SLT,PTO,NTO,AWC,BDW,ECE,DES,DER,PC1fert,PC2depth,Elev
1,ACAC-BEN-A,16.40231514,72.14717293,4.287918766,0.009074396,0.044608293,10.04554939,1.540033619,7.061102311,0.698574483,7.826457024,-2.87741284,1.632632447,352
2,ACAC-BEN-B,22.29567345,68.45113564,6.324076176,0.010114463,0.041998606,12.54459604,1.50833713,8.725025733,0.774512589,11.74333286,-2.000464378,0.669356159,344
3,ACAC-BEN-C,18.96107753,71.7407163,4.609302898,0.009464377,0.03914812,9.964590549,1.529757271,7.425762574,0.706691146,7.634732723,-2.71704049,1.656963989,373
4,ACAC-GNO-A,24.9903597,69.10174942,3.974444677,0.012225613,0.041197588,12.46976924,1.5123956,9.482377291,0.652231276,14.8166275,-2.137629788,1.428822223,259
5,ACAC-GNO-B,26.83650629,67.79202652,4.073680202,0.011082107,0.044232761,12.83885423,1.483482351,9.127741416,0.757909834,21.44030571,-2.092752755,0.282227179,250
6,ACAC-GNO-C,26.13302437,67.14691035,3.829727928,0.012929251,0.046460396,11.98915553,1.507618159,8.729468584,0.728062928,13.9870863,-2.006668651,0.977047634,245
7,ACAC-NAR-A,15.46058853,75.15135384,3.419919133,0.014464847,0.057010709,12.13597886,1.522795667,7.414971471,0.794938684,6.533909321,-2.388041887,0.580839608,365
8,ACAC-NAR-B,18.42103418,72.37375577,3.672672033,0.013140681,0.045821348,12.14369671,1.519247284,6.244377851,0.772645056,9.837946892,-2.466346332,0.632377375,362
9,ACAC-NAR-C,19.25590102,72.41702207,4.579769293,0.01166196,0.051340388,11.99303929,1.513323257,6.791545312,0.849927485,6.104413033,-2.197203283,0.326980078,340
10,ACAC-PER-A,19.77609301,71.32952754,4.957881888,0.013673055,0.036396815,11.40794865,1.5557474,6.631474257,0.794926047,14.79833984,-2.662499653,0.376448936,306
11,ACAC-PER-B,19.20521172,67.18834813,4.511119147,0.013590804,0.036710707,9.619618575,1.56745861,8.367231687,0.733017981,15.3591938,-2.806849102,1.12842884,306
