,Species,Site,Plot,Tree,Sample,Branchtag,Treetag,Plottag,Sitetag,Loc,Lat,Lon,StandBA,TreeDBH,Volume,BranchDryMass,Diameter,WD,Stem_Di_corrected,Leaf_wet,Leaf_dry,Stem_dry,LDMC,Flag_LDMC,nleaves,tot_area,median_area,max_area,min_area,LMA,Al_As,Flag_Area,Herbivory,PETc,MATc,Tminc,Tmaxc,PPTc,Pminqc,MDc,rhc
1,ACAC,BEN,A,1,1,ACAC-BEN-A-1-1,ACAC-BEN-A-1,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.48,1.6881,6,0.680685484,1.64,1.175,0.4894,0.0432,0.416510638,0,6,25.559,4.8165,5.973,1.855,0.019147854,12.099825,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
2,ACAC,BEN,A,1,2,ACAC-BEN-A-1-2,ACAC-BEN-A-1,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,4.2,3.2615,6.4,0.776547619,2.02,2.41,1.0361,0.1108,0.429917012,0,12,49.547,3.6405,8.879,0.208,0.020911458,15.460999,0,MID,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
3,ACAC,BEN,A,1,3,ACAC-BEN-A-1-3,ACAC-BEN-A-1,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.93,2.1133,5.5,0.721262799,1.005,0.179,0.0758,0.0229,0.423463687,0,5,3.877,0.486,1.855,0.146,0.019551199,4.887498136,0,HEAVY,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
4,ACAC,BEN,A,2,1,ACAC-BEN-A-2-1,ACAC-BEN-A-2,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,1.49,1.0119,5,0.679127517,0.92,0.405,0.17,0.0149,0.419753086,0,4,9.689,2.5185,2.838,1.814,0.01754567,14.57559285,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
5,ACAC,BEN,A,2,2,ACAC-BEN-A-2-2,ACAC-BEN-A-2,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.6,1.7591,6,0.676576923,1.455,1.55,0.6955,0.142,0.448709677,0,13,31.057,3.329,4.48,0.108,0.022394307,18.67912131,0,MID,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
6,ACAC,BEN,A,2,3,ACAC-BEN-A-2-3,ACAC-BEN-A-2,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.17,1.4219,5.1,0.655253456,1.575,1.374,0.6234,0.1154,0.45371179,0,13,30.778,2.443,3.249,0.726,0.020254727,15.79800352,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
7,ACAC,BEN,A,3,1,ACAC-BEN-A-3-1,ACAC-BEN-A-3,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,3.86,2.9369,7.5,0.760854922,1.145,0.701,0.3095,0.0399,0.441512126,0,4,15.499,3.835,4.696,3.133,0.01996903,15.05274249,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
8,ACAC,BEN,A,3,2,ACAC-BEN-A-3-2,ACAC-BEN-A-3,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,3.24,2.3889,6.6,0.737314815,1.06,0.66,0.2853,0.0236,0.432272727,0,4,14.122,3.877,4.533,1.835,0.020202521,16.00322104,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
9,ACAC,BEN,A,3,3,ACAC-BEN-A-3-3,ACAC-BEN-A-3,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.38,1.6737,5.6,0.703235294,1.115,0.686,0.3083,0.0311,0.44941691,0,5,15.128,3.181,4.234,1.246,0.020379429,15.49368451,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
10,ACAC,BEN,A,4,1,ACAC-BEN-A-4-1,ACAC-BEN-A-4,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.23,1.6443,5.5,0.73735426,1.39,0.8,0.348,0.0591,0.435,0,7,18.238,2.959,3.567,0.158,0.01908104,12.01906097,0,LIGHT,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
11,ACAC,BEN,A,4,2,ACAC-BEN-A-4-2,ACAC-BEN-A-4,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.1,1.4462,5,0.688666667,1.29,0.793,0.3437,0.0593,0.433417402,0,8,18.268,2.534,3.049,0.479,0.01881432,13.9776612,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
12,ACAC,BEN,A,4,3,ACAC-BEN-A-4-3,ACAC-BEN-A-4,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,4.11,2.6891,7.1,0.654282238,1.25,0.974,0.4075,0.0511,0.418377823,0,9,23.254,2.529,3.864,1.036,0.017523867,18.94962279,0,LIGHT,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
13,ACAC,BEN,A,5,1,ACAC-BEN-A-5-1,ACAC-BEN-A-5,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.76,1.7163,5.5,0.621847826,0.9,0.321,0.1317,0.0168,0.410280374,0,6,7.728,1.648,2.083,0.102,0.017041925,12.14800667,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
14,ACAC,BEN,A,5,2,ACAC-BEN-A-5-2,ACAC-BEN-A-5,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.98,2.1767,6.1,0.730436242,1.21,0.771,0.3192,0.0418,0.414007782,0,7,17.445,2.883,3.165,1.068,0.018297506,15.17131272,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
15,ACAC,BEN,A,5,3,ACAC-BEN-A-5-3,ACAC-BEN-A-5,ACAC-BEN-A,ACAC-BEN,WA,-32.393988,118.388225,NA,NA,2.25,1.6243,5.3,0.721911111,1.11,0.612,0.2543,0.0229,0.415522876,0,6,13.59,2.389,2.785,1.471,0.018712288,14.04418127,0,,1351.622559,17,5.8,30.4,368,44,983.6225586,65113
16,ACAC,BEN,B,1,1,ACAC-BEN-B-1-1,ACAC-BEN-B-1,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.07,1.5371,4.6,0.742560386,1.365,0.752,0.3008,0.0319,0.4,0,5,15.725,3.272,3.617,2.559,0.019128776,10.74603569,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
17,ACAC,BEN,B,1,2,ACAC-BEN-B-1-2,ACAC-BEN-B-1,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.3,1.6795,5.1,0.730217391,1.7,2.038,0.7775,0.2342,0.381501472,0,15,39.166,2.788,4.923,0.263,0.019851402,17.25576844,0,LIGHT,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
18,ACAC,BEN,B,1,3,ACAC-BEN-B-1-3,ACAC-BEN-B-1,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.72,2.0371,5.6,0.748933824,1.57,1.685,0.6613,0.1234,0.392462908,0,15,33.018,2.083,4.13,0.193,0.020028469,17.05588997,0,LIGHT,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
19,ACAC,BEN,B,2,1,ACAC-BEN-B-2-1,ACAC-BEN-B-2,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,4.93,3.3925,6.5,0.688133874,0.885,0.539,0.2145,0.0175,0.397959184,0,5,11.511,2.379,2.778,1.772,0.01863435,18.71325949,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
20,ACAC,BEN,B,2,2,ACAC-BEN-B-2-2,ACAC-BEN-B-2,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,3.17,2.1918,6,0.691419558,0.935,0.516,0.1953,0.0118,0.378488372,0,6,11.843,2.1995,2.685,1.045,0.016490754,17.24890121,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
21,ACAC,BEN,B,2,3,ACAC-BEN-B-2-3,ACAC-BEN-B-2,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,4.06,2.8027,6.9,0.690320197,0.92,0.418,0.1596,0.0111,0.381818182,0,4,9.342,2.368,2.495,2.111,0.017084136,14.05358535,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
22,ACAC,BEN,B,3,1,ACAC-BEN-B-3-1,ACAC-BEN-B-3,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,1.92,1.438,5.4,0.748958333,1.205,1.359,0.5703,0.0474,0.419646799,0,8,27.14,3.7865,4.435,1.68,0.021013265,23.79899823,0,LIGHT,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
23,ACAC,BEN,B,3,2,ACAC-BEN-B-3-2,ACAC-BEN-B-3,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.34,1.6849,6.1,0.720042735,1.215,0.611,0.2607,0.0157,0.426677578,0,4,11.472,3.238,4.858,0.138,0.022724895,9.894856716,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
24,ACAC,BEN,B,3,3,ACAC-BEN-B-3-3,ACAC-BEN-B-3,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,3.22,2.5281,6.25,0.785124224,1.995,2.419,1.2236,0.316,0.505828855,0,12,47.529,4.451,6.496,0.746,0.025744282,15.20532839,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
25,ACAC,BEN,B,4,1,ACAC-BEN-B-4-1,ACAC-BEN-B-4,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.55,2.0629,6,0.808980392,1.105,0.636,0.312,0.0508,0.490566038,0,10,18.071,1.903,2.824,0.153,0.017265232,18.84432376,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
26,ACAC,BEN,B,4,2,ACAC-BEN-B-4-2,ACAC-BEN-B-4,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.29,1.7445,5,0.761790393,0.955,0.576,0.2652,0.0302,0.460416667,0,8,14.728,1.968,2.418,0.787,0.018006518,20.56174456,0,LIGHT,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
27,ACAC,BEN,B,4,3,ACAC-BEN-B-4-3,ACAC-BEN-B-4,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,2.26,1.9065,5.5,0.843584071,1.26,0.599,0.3407,0.0579,0.568781302,0,9,17.738,2.088,2.843,0.806,0.019207351,14.22612065,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
28,ACAC,BEN,B,5,1,ACAC-BEN-B-5-1,ACAC-BEN-B-5,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,3.03,2.261,6.5,0.74620462,1.025,0.501,0.2342,0.0432,0.46746507,0,8,10.027,1.184,2.218,0.357,0.023356936,12.15195665,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
29,ACAC,BEN,B,5,2,ACAC-BEN-B-5-2,ACAC-BEN-B-5,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,4.98,3.3717,9,0.677048193,1.165,0.766,0.4086,0.0487,0.533420366,0,9,18.136,2.157,2.555,1.028,0.022529775,17.01424114,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
30,ACAC,BEN,B,5,3,ACAC-BEN-B-5-3,ACAC-BEN-B-5,ACAC-BEN-B,ACAC-BEN,WA,-32.401581,118.388298,NA,NA,3.01,2.02,6.9,0.671096346,1,0.776,0.3001,0.0122,0.386726804,0,6,15.378,2.6595,3.598,1.212,0.019514891,19.5804552,0,,1352.48291,17.1,5.9,30.5,362,44,990.4829102,65130
31,ACAC,BEN,C,1,1,ACAC-BEN-C-1-1,ACAC-BEN-C-1,ACAC-BEN-C,ACAC-BEN,WA,-32.383115,118.387916,NA,NA,2.13,1.3821,5.25,0.648873239,1.46,1.339,0.5595,0.0523,0.417849141,0,7,26.826,4.147,4.687,2.429,0.020856632,16.02408116,0,,1348.17981,16.9,5.7,30.3,383,44,965.1798096,65159
