"","ID","Int","Slope","Slope.lci","Slope.uci","Rho","r.sq","n","varWD","varLMA","lci_2.5","lci_5","lci_10","uci_10","uci_5","uci_2.5","sig","Species","Level"
"1","ACAC-BEN",-0.0122866380832231,0.0443777951381096,0.0251712473976148,0.0782396148355618,0.0648866713345474,0.00421028011687757,15,0.00145011463579195,2.85583937934749e-06,NA,NA,NA,NA,NA,NA,0.818290567386347,1,"Btw-tree.in.site"
"2","ACAC-GNO",0.0413667174403443,-0.0387907031565608,-0.0683673950022526,-0.0220093021144193,-0.0738733852888088,0.0054572770540288,15,0.00435254746975857,6.54935935876437e-06,NA,NA,NA,NA,NA,NA,0.793594490171482,1,"Btw-tree.in.site"
"3","ACAC-NAR",-0.00743401363914062,0.0332362524147259,0.0188777187282971,0.0585159939330773,0.0977186259952272,0.00954892986639509,15,0.00425554720962012,4.70088373359036e-06,NA,NA,NA,NA,NA,NA,0.728996968613145,1,"Btw-tree.in.site"
"4","ACAC-PER",0.00221038146566221,0.0283835855856906,0.0185420368275709,0.0434487288636114,0.681030081333854,0.463801971681595,15,0.00164016678119537,1.32136416993767e-06,NA,NA,NA,NA,NA,NA,0.00518745829816709,1,"Btw-tree.in.site"
"5","AMYG-CMP",0.0532445220077829,-0.0502744934385865,-0.0875493618165621,-0.0288697100477131,-0.226599294160268,0.0513472401139318,15,0.000823520025856226,2.0814671984781e-06,NA,NA,NA,NA,NA,NA,0.416720168447334,2,"Btw-tree.in.site"
"6","AMYG-EPF",-0.0248079944888039,0.0685935612520679,0.0412309012164761,0.114115299603517,0.462390934297145,0.213805376120186,15,0.000952483839062833,4.48150946614417e-06,NA,NA,NA,NA,NA,NA,0.082666375335619,2,"Btw-tree.in.site"
"7","AMYG-GRA",0.0764657682712434,-0.0872701149741853,-0.148358857655696,-0.051335478635745,-0.373235742693206,0.139304919623749,15,0.000893676434739217,6.80630493640525e-06,NA,NA,NA,NA,NA,NA,0.170605307565125,2,"Btw-tree.in.site"
"8","AMYG-MER",-0.00619688848473184,0.0386683267569495,0.0225033945120676,0.0664450642493241,0.317445550621794,0.100771677609574,15,0.00164794959030593,2.46407931184684e-06,NA,NA,NA,NA,NA,NA,0.248937668115881,2,"Btw-tree.in.site"
"9","AMYG-TMP",-0.0147200872535717,0.0522704013451611,0.0296254366905561,0.0922246272796775,0.30598456658738,0.0936265549896667,14,0.00180543165078262,5.20870386958261e-06,NA,NA,NA,NA,NA,NA,0.287357731801953,2,"Btw-tree.in.site"
"10","COCA-GRIM",0.0370109791850863,-0.0401389114072648,-0.0704639492057031,-0.0228646311641848,-0.14401473669386,0.0207402443850019,15,0.0015965338704494,2.57222714137701e-06,NA,NA,NA,NA,NA,NA,0.608608370906897,3,"Btw-tree.in.site"
