"","project","year","month","day","plot_id","ecoregion","latitude","longitude","pft","family","genus","species","binomial","specific_leaf_area","leaf_carbon","leaf_nitrogen","leaf_c_to_n","leaf_life","tmean.gy.c","ppt.gy.mm"
"1","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",85.9,47.8,0.65,73.54,6,6.92,646
"2","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",87.4,48.1,0.59,81.53,9,6.92,646
"3","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",93.3,49,0.86,56.98,7,6.92,646
"4","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",94.5,47.7,0.89,53.6,6,6.92,646
"5","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",96.3,47.4,0.83,57.11,6,6.92,646
"6","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",96.4,48.3,1.02,47.35,NA,6.92,646
"7","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",96.8,47.8,0.62,77.1,7,6.92,646
"8","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",104.8,48.6,0.92,52.83,8,6.92,646
"9","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",105.5,48.5,0.8,60.63,6,6.92,646
"10","CADIS",2014,7,10,1000,"Eastern Cascades",44.2321,-121.6701,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",128.5,48.8,0.78,62.56,7,6.92,646
"11","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",81.7,47.8,0.92,51.96,10,6.03,843
"12","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",87.4,47.4,0.99,47.88,13,6.03,843
"13","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",92.2,47.6,0.97,49.07,11,6.03,843
"14","CADIS",2014,7,15,1001,"Eastern Cascades",44.2411,-121.6842,"evergreen needleleaf tree","Pinaceae","Abies","grandis","Abies grandis",93.7,47.3,1.02,46.37,13,6.03,843
