date_collected,timing,plot_id,quad,fire_severity,species_code,plant_type,percent_cover
2018-05-03,Post-1year,P-03,0,med,ACMBRA,NA,13
2018-05-03,Post-1year,P-03,3,high,ACMBRA,NA,4
2018-05-03,Post-1year,P-03,6,med,ACMBRA,NA,7
2018-05-03,Post-1year,P-03,9,med,ACMBRA,NA,3
2018-05-03,Post-1year,P-03,12,med,ACMBRA,NA,6
2018-05-03,Post-1year,P-03,15,med,ACMBRA,NA,1
2018-05-03,Post-1year,P-03,18,med,ACMBRA,NA,5
2018-05-03,Post-1year,P-03,21,high,ACMBRA,NA,0.25
2018-05-03,Post-1year,P-03,24,med,ACMBRA,NA,4
2018-05-03,Post-1year,P-03,24,med,ACMBRA,NA,10
2018-05-03,Post-1year,P-03,27,med,ACMBRA,NA,4
2018-05-03,Post-1year,P-03,30,med,ACMBRA,NA,3
2018-05-03,Post-1year,P-03,33,med,ACMBRA,NA,4
2018-05-03,Post-1year,P-03,36,med,ACMBRA,NA,13
2018-05-03,Post-1year,P-03,39,med,ACMBRA,NA,2
2018-05-03,Post-1year,P-03,42,high,ACMBRA,NA,2
2018-05-03,Post-1year,P-03,45,med,ACMBRA,NA,6
2018-05-03,Post-1year,P-03,24,med,ACMGLAGLA,NA,4
2018-05-03,Post-1year,P-03,27,med,ACMGLAGLA,NA,0.5
2018-05-03,Post-1year,P-03,36,med,ACMGLAGLA,NA,1
2018-05-03,Post-1year,P-03,45,med,ACMGLAGLA,NA,0.5
2018-05-03,Post-1year,P-03,48,med,ACMGLAGLA,NA,9
2018-05-03,Post-1year,P-03,36,med,ADEFASFAS,seed,0.25
2018-05-03,Post-1year,P-03,0,med,ADEFASFAS,sprout,0.25
2018-05-03,Post-1year,P-03,6,med,ADEFASFAS,sprout,4
2018-05-03,Post-1year,P-03,9,med,ADEFASFAS,sprout,1
2018-05-03,Post-1year,P-03,15,med,ADEFASFAS,sprout,4
2018-05-03,Post-1year,P-03,36,med,ADEFASFAS,sprout,3
2018-05-03,Post-1year,P-03,48,med,ADEFASFAS,sprout,1
2018-05-03,Post-1year,P-03,18,med,AIRCAR,NA,0.25
2018-05-03,Post-1year,P-03,48,med,AIRCAR,NA,0.5
2018-05-03,Post-1year,P-03,45,med,ARCTOSTAPHYLOS,NA,0.25
2018-05-03,Post-1year,P-03,18,med,AVEBAR,NA,8
2018-05-03,Post-1year,P-03,30,med,BROSTE,NA,6
2018-05-03,Post-1year,P-03,30,med,CALBRE,NA,1
2018-05-03,Post-1year,P-03,33,med,CALBRE,NA,0.25
2018-05-03,Post-1year,P-03,0,med,CALAMA,NA,0.5
2018-05-03,Post-1year,P-03,3,high,CALAMA,NA,1
2018-05-03,Post-1year,P-03,6,med,CALAMA,NA,0.25
2018-05-03,Post-1year,P-03,21,high,CALAMA,NA,0.5
2018-05-03,Post-1year,P-03,0,med,CALPURPUR,NA,6
2018-05-03,Post-1year,P-03,6,med,CALPURPUR,NA,5
2018-05-03,Post-1year,P-03,9,med,CALPURPUR,NA,9
2018-05-03,Post-1year,P-03,12,med,CALPURPUR,NA,8
2018-05-03,Post-1year,P-03,15,med,CALPURPUR,NA,0.25
2018-05-03,Post-1year,P-03,18,med,CALPURPUR,NA,0.5
2018-05-03,Post-1year,P-03,21,high,CALPURPUR,NA,0.5
2018-05-03,Post-1year,P-03,27,med,CALPURPUR,NA,1
2018-05-03,Post-1year,P-03,30,med,CALPURPUR,NA,0.25
2018-05-03,Post-1year,P-03,33,med,CALPURPUR,NA,3
2018-05-03,Post-1year,P-03,36,med,CALPURPUR,NA,1
2018-05-03,Post-1year,P-03,42,high,CALPURPUR,NA,0.5
2018-05-03,Post-1year,P-03,45,med,CALPURPUR,NA,2
2018-05-03,Post-1year,P-03,48,med,CALPURPUR,NA,0.25
2018-05-03,Post-1year,P-03,0,med,CEANOTHUS,seed,1
2018-05-03,Post-1year,P-03,3,high,CEANOTHUS,seed,4
2018-05-03,Post-1year,P-03,6,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,9,med,CEANOTHUS,seed,1
2018-05-03,Post-1year,P-03,12,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,18,med,CEANOTHUS,seed,1
2018-05-03,Post-1year,P-03,21,high,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,24,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,27,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,30,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,33,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,36,med,CEANOTHUS,seed,0.5
2018-05-03,Post-1year,P-03,21,high,CROSCOVUL,NA,0.5
2018-05-03,Post-1year,P-03,24,med,CROSCOVUL,NA,0.5
2018-05-03,Post-1year,P-03,36,med,CROSCOVUL,NA,0.5
2018-05-03,Post-1year,P-03,45,med,CROSCOVUL,NA,3
2018-05-03,Post-1year,P-03,48,med,CROSCOVUL,NA,0.25
2018-05-03,Post-1year,P-03,48,med,CYNECH,NA,0.5
2018-05-03,Post-1year,P-03,39,med,DICCON,NA,0.5
2018-05-03,Post-1year,P-03,15,med,DIPAUR,NA,1
2018-05-03,Post-1year,P-03,36,med,DIPAUR,NA,0.5
2018-05-03,Post-1year,P-03,45,med,DIPAUR,NA,0.25
2018-05-03,Post-1year,P-03,48,med,DIPAUR,NA,0.25
2018-05-03,Post-1year,P-03,18,med,GALPAR,NA,2
2018-05-03,Post-1year,P-03,24,med,GALPAR,NA,0.5
2018-05-03,Post-1year,P-03,30,med,GALPAR,NA,1
2018-05-03,Post-1year,P-03,39,med,GALPAR,NA,4
2018-05-03,Post-1year,P-03,24,med,GASPHL,NA,0.5
2018-05-03,Post-1year,P-03,27,med,GASPHL,NA,0.5
2018-05-03,Post-1year,P-03,39,med,GASPHL,NA,0.5
2018-05-03,Post-1year,P-03,0,med,LYSARV,NA,5
2018-05-03,Post-1year,P-03,3,high,LYSARV,NA,2
2018-05-03,Post-1year,P-03,6,med,LYSARV,NA,3
2018-05-03,Post-1year,P-03,9,med,LYSARV,NA,3
2018-05-03,Post-1year,P-03,18,med,LYSARV,NA,3
2018-05-03,Post-1year,P-03,24,med,LYSARV,NA,3
2018-05-03,Post-1year,P-03,30,med,LYSARV,NA,4
2018-05-03,Post-1year,P-03,36,med,LYSARV,NA,0.25
2018-05-03,Post-1year,P-03,39,med,LYSARV,NA,2
2018-05-03,Post-1year,P-03,42,high,LYSARV,NA,1
2018-05-03,Post-1year,P-03,48,med,LYSARV,NA,0.25
2018-05-03,Post-1year,P-03,39,med,PELMUCMUC,NA,0.25
2018-05-03,Post-1year,P-03,36,med,PETDUB,NA,0.25
2018-05-03,Post-1year,P-03,39,med,PETDUB,NA,0.25
2018-05-03,Post-1year,P-03,0,med,POACEAE,NA,0.25
2018-05-03,Post-1year,P-03,0,med,SALMEL,NA,1
2018-05-03,Post-1year,P-03,30,med,SALMEL,NA,2
2018-05-03,Post-1year,P-03,36,med,SALMEL,NA,0.5
2018-05-03,Post-1year,P-03,39,med,SALMEL,NA,1
2018-05-03,Post-1year,P-03,48,med,SALMEL,NA,4
2018-05-03,Post-1year,P-03,12,med,SILANT,NA,0.25
2018-05-03,Post-1year,P-03,15,med,SILANT,NA,3
2018-05-03,Post-1year,P-03,24,med,SILANT,NA,4
2018-05-03,Post-1year,P-03,30,med,SILANT,NA,1
2018-05-03,Post-1year,P-03,33,med,SILANT,NA,2
2018-05-03,Post-1year,P-03,36,med,SILANT,NA,0.5
2018-05-03,Post-1year,P-03,39,med,SILANT,NA,2
2018-05-03,Post-1year,P-03,48,med,SILANT,NA,3
2018-05-03,Post-1year,P-03,30,med,SILGAL,NA,2
2018-05-03,Post-1year,P-03,36,med,SILGAL,NA,0.5
2018-05-03,Post-1year,P-03,39,med,SILGAL,NA,3
2018-05-03,Post-1year,P-03,6,med,TRIHIR,NA,2
2018-05-03,Post-1year,P-03,0,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,3,high,TRIMIC1,NA,0.5
2018-05-03,Post-1year,P-03,6,med,TRIMIC1,NA,0.5
2018-05-03,Post-1year,P-03,9,med,TRIMIC1,NA,0.25
2018-05-03,Post-1year,P-03,12,med,TRIMIC1,NA,3
2018-05-03,Post-1year,P-03,15,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,18,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,21,high,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,24,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,24,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,27,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,30,med,TRIMIC1,NA,2
2018-05-03,Post-1year,P-03,33,med,TRIMIC1,NA,1
2018-05-03,Post-1year,P-03,36,med,TRIMIC1,NA,0.25
2018-05-03,Post-1year,P-03,39,med,TRIMIC1,NA,0.5
2018-05-03,Post-1year,P-03,45,med,TRIMIC1,NA,0.5
2018-05-03,Post-1year,P-03,48,med,TRIMIC1,NA,2
2018-05-03,Post-1year,P-10,0,med,ACHMIL,NA,5
2018-05-03,Post-1year,P-10,3,med,ACHMIL,NA,5
2018-05-03,Post-1year,P-10,6,med,ACHMIL,NA,5
2018-05-03,Post-1year,P-10,9,med,ACHMIL,NA,0.25
2018-05-03,Post-1year,P-10,12,med,ACHMIL,NA,3
2018-05-03,Post-1year,P-10,15,med,ACHMIL,NA,0.5
2018-05-03,Post-1year,P-10,15,med,ACHMIL,NA,4
2018-05-03,Post-1year,P-10,18,med,ACHMIL,NA,0.5
2018-05-03,Post-1year,P-10,42,med,ACHMIL,NA,4
2018-05-03,Post-1year,P-10,48,low,ACHMIL,NA,1
2018-05-03,Post-1year,P-05,24,med,ACMAMEAME,NA,0.25
2018-05-03,Post-1year,P-02,0,low,ACMBRA,NA,0.25
2018-05-03,Post-1year,P-02,3,low,ACMBRA,NA,1
2018-05-03,Post-1year,P-02,6,low,ACMBRA,NA,3
2018-05-03,Post-1year,P-02,9,low,ACMBRA,NA,2
2018-05-03,Post-1year,P-02,12,low,ACMBRA,NA,4
2018-05-03,Post-1year,P-02,18,low,ACMBRA,NA,1
